"Keyword";"Title";"URL";"Text1Name";"Text2Name";"Hid1Name";"Hid1Value";"Hid2Name";"Hid2Value";"Button";"Method";"SiteUrl";"Img";"Text1Descript";"Text2Descript";"Description"
"gimg";" Afbeeldingen (Google)";"http://images.google.nl/images";" q";;" hl";" nl";;;" btnG";" GET";" http://www.google.com/";" google.gif";" Zoek op";;" Zoek afbeeldingen met Google."
"yimg";" Afbeeldingen (Yahoo)";"http://nl.images.search.yahoo.com/search/images";" p";;;;;;;" GET";" http://nl.images.search.yahoo.com/";" yahoo.gif";" Zoeken";;" Zoek afbeeldiongen met Yahoo."
"vdale";" in NL woordenboek";"http://www.vandale.nl/opzoeken/woordenboek/";" zoekwoord";;;;;;;" GET";" http://www.vandale.nl";" vandale.gif";" Woord:";;" Vul een woord in dat je wilt opzoeken via VanDale.nl."
"synonnet";" synoniemen";"http://www.synoniemen.net/index.php";" zoekterm";;;;;;;" GET";" http://www.synoniemen.net/";" synoniemen.png";" Woord:";;" Vul een woord in waarvan je een synoniem wilt via Synoniemen.net."
"gtranstonl";" woorden naar NL";"http://translate.google.nl/translate_t";" text";;" tl";" nl";" sl";" auto";;" POST";" http://translate.google.nl/";" google.gif";" Woord(en):";;" Vul het woord in dat met Google Translate vertaald moet worden."
"gtranspagetonl";" vertaal webpagina in NL";"http://translate.google.nl/translate";" u";;" tl";" nl";" hl";" nl";;" GET";" http://translate.google.nl/";" google.gif";" Adres:";;" Vul het adres in van de door Google Translate te vertalen site."
"wikinl";" Wikipedia [NL]";"http://nl.wikipedia.org/wiki/Special:Search";" search";;;;;;;" GET";" http://nl.wikipedia.org";" wikipedia.png";" Trefwoord";;" Zoek een woord in de wikipedia.org"
"wikinen";" Wikipedia [ENG]";"http://en.wikipedia.org/wiki/Special:Search";" search";;;;;;;" GET";" http://en.wikipedia.org";" wikipedia.png";" Trefwoord";;" Zoek een woord in de wikipedia.org"
"gmaps";" Kaart en satelliet (Google Maps)";"http://maps.google.nl/maps";" q";;" z";17;;;;" GET";" http://maps.google.nl";" google.gif";" Plaats:";;" Vul de plaats en eventueel straat in die je wilt opzoeken via Google Maps. Bijvoorbeeld 'Kalverstraat, Amsterdam'"
"livemaps";" Satellietbeeld van schuin boven";"http://maps.live.com/default.aspx";" where1";;" style";" b";;;;" GET";" http://maps.live.com";" live.gif";" Plaats";;" Vul plaats en eventueel straat in om met vogelblikperspectief te zien in Live Maps. Bijvoorbeeld 'Domplein, Utrecht'. Er zijn niet van alle plaatsen in Nederland foto's beschikbaar."
"gmapsroute";" Route";"http://maps.google.nl/maps";" saddr";" daddr";;;;;;" GET";" http://maps.google.nl";" google.gif";" Van:";" Naar:";" Vul twee keer de straat en plaats in die je wilt opzoeken via Google Maps"
"plaats";" Regio";"http://www.plaats.nl/";" countrySearchLocation";;;;;;;" POST";" http://www.plaats.nl";" plaats.jpg";" Plaats of postcode:";;"  Vul de cijfers van een postcode in, of de plaatsnaam, gemeentenaam of provincie om te zoeken via plaats.nl:"
"gnewsnl";" Nederlands nieuws";"http://news.google.nl";" q";;;;;;" zoek";" GET";" http://news.google.nl";" google.gif";" Zoekwoord:";;" Vul een woord in dat je wilt opzoeken in het nieuws via Google News."
"gnewscom";" Internationaal nieuws";"http://news.google.com";" q";;" hl";" en";;;" zoek";" GET";" http://news.google.com";" google.gif";" Zoekwoord:";;" Vul een woord in dat je wilt opzoeken in het nieuws via Google News."
"persberichten";" Persberichten";"http://www.persberichten.com/persberichtfilter.aspx";" q";;" as_sitesearch";" persberichten.com";;;;" GET";" http://www.persberichten.com/";" .gif";" Zoekwoord:";;" Vul een zoekwoord in dat je wilt opzoeken via persberichten.com"
"tvgids";" TV Gids";"http://www.tvgids.nl/zoeken/";" q";;;;;;;" GET";" http://www.tvgids.nl/";" tvgids.gif";" Programmanaam:";;" Vul een programma in dat je wilt opzoeken "
"uitzendinggemist";" Uitzendinggemist";"http://www.uitzendinggemist.nl/index.php/search?asd";" sq";;;;;;;" GET";" http://www.uitzendinggemist.nl/";" uitzendinggemist.gif";" Programmanaam:";;" Vul een programma in dat je wilt opzoeken in Uitzendinggemist"
"cinemafilm";" Film";"http://www.cinema.nl/zoeken/";" query";;" resultType";" movie";;;;" GET";" http://www.cinema.nl/";" cinema.gif";" Filmterm:";;" Vul een film in die je wilt opzoeken met cinema.nl."
"cinemaacteurs";" Acteurs";"http://www.cinema.nl/zoeken/";" query";;" resultType";" person";;;;" GET";" http://www.cinema.nl/";" cinema.gif";" Filmterm:";;" Vul een acteur in die je wilt opzoeken met cinema.nl."
"ipchecking";" Gegevens IP-adres en domeinnaam";"http://www.ipchecking.com/";" ip";;;;;;;" GET";" http://www.ipchecking.com/";" ipchecking.png";" IP-adres of domeinnaam:";;" Vul het ip-adres of de domeinnaam in (de uitkomst is 1 domeinnaam, er kunnen meerdere domeinnamen op 1 adres draaien)."
"wayback";" Oude versie van een site";"http://web.archive.org/archive_request_ng";" url";;" collection";" web";;;;" GET";" http://web.archive.org";" archive.gif";" Woord:";;" Vul het adres van de site in"
"overheid";" Overheid.nl";"http://zoekdienst.overheid.nl/Zoekdienst/overheid.nl/overheid";" term";;;;;;;" POST";" http://www.overheid.nl";" overheid.png";" Woord:";;" Vul een naam in of een zoekterm"
"postcode";" Postcode";"http://www.postcode.nl/index.php";" address";;" action";" search";" goto";" postcoderesult";" search";" GET";" http://www.postcode.nl";" postcode.png";" Stad, straat:";;" Vul een postcode of een stad en straat in via Postcode.nl, bijvoorbeeld: 1012 NX of Amsterdam, Kalverstraat."
"weernl";" Het Weer";"http://www.weer.nl/nl/home/weer/wereldweer/zoekresultaten.html";" tx_citysearchgeodb_pi1[sword]";;" what";" WeatherLocalUndeclared";" lswa";" WeatherLocalUndeclared";;" POST";" http://www.weer.nl";" weer.png";" Plaatsnaam (, land):";;" Vul een plaatsnaam in waarvan je het weer wilt opzoeken met weer.nl, eventueel gevolgd door een komma en een land."
"marktplaats";" Spullen (Marktplaats)";"http://www.marktplaats.nl/nieuw_zoek.php3";" q";;;;;;;" GET";" http://www.marktplaats.nl/";" marktplaats.png";" Product:";;" Vul een product in dat je wilt opzoeken op marktplaats"
